ordinal,company_name,linkedin_job_title,linkedin_job_location,linkedin_job_url,terminal,live_pipeline_status,live_reason_code,website_url,career_url,job_list_url,opening_url,audit_note
1,Loveland Innovations,DevOps Engineer,"Pleasant Grove, UT",https://www.linkedin.com/jobs/view/devops-engineer-at-loveland-innovations-4424981543,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
2,iClassPro - Class Management Software,DevOps Engineer,"Longview, TX",https://www.linkedin.com/jobs/view/devops-engineer-at-iclasspro-class-management-software-4441446072,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
3,Indica Labs,DevOps Engineer,"Albuquerque, NM",https://www.linkedin.com/jobs/view/devops-engineer-at-indica-labs-4438426469,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
4,WalkMe,DevOps Engineer,"Detroit, MI",https://www.linkedin.com/jobs/view/devops-engineer-at-walkme-4427575841,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.walkme.com/,https://www.walkme.com/careers/,https://www.walkme.com/careers/careers_list/,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
5,Aperia,DevOps Engineer,"Omaha, NE",https://www.linkedin.com/jobs/view/devops-engineer-at-aperia-4441209886,EXACT,success,,https://www.aperia.com/,https://job-boards.greenhouse.io/aperiasolutions,https://job-boards.greenhouse.io/aperiasolutions,https://job-boards.greenhouse.io/aperiasolutions/jobs/5187679007,S7 verified; company/title/location/provider/tenant/opening manually audited.
6,Tyler Technologies,DevOps Engineer,"Lubbock, TX",https://www.linkedin.com/jobs/view/devops-engineer-at-tyler-technologies-4415123997,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.tylertech.com,https://www.tylertech.com/careers/job-openings,https://www.tylertech.com/careers,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
7,Caesars Entertainment,DevOps Engineer,"Reno, NV",https://www.linkedin.com/jobs/view/devops-engineer-at-caesars-entertainment-4409111101,SYSTEM_GAP,failed,FETCH_FAILED,,,,,Unclosed product failure: FETCH_FAILED.
8,Vectra AI,DevOps Engineer,"Austin, TX",https://www.linkedin.com/jobs/view/devops-engineer-at-vectra-ai-4430117412,SYSTEM_GAP,failed,NETWORK_TIMEOUT,,,,,Unclosed product failure: NETWORK_TIMEOUT.
9,"Wolfe, LLC",DevOps Engineer,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/devops-engineer-at-wolfe-llc-4411757323,EXACT,success,,https://www.wolfe.com/,https://wolfe.pinpointhq.com/,https://wolfe.pinpointhq.com/,https://wolfe.pinpointhq.com/en/postings/cacd0cbd-eee6-4326-99f1-b73ab432e303,S7 verified; company/title/location/provider/tenant/opening manually audited.
10,Lorum,DevOps Engineer,"New York, NY",https://www.linkedin.com/jobs/view/devops-engineer-at-lorum-4416280287,SYSTEM_GAP,partial,OPENING_DISCOVERY_INCOMPLETE,https://www.lorum.com/,https://www.lorum.com/careers,https://www.lorum.com/careers,,Unclosed product failure: OPENING_DISCOVERY_INCOMPLETE.
